  index  term                      df
   1051  bio                        1
   1052  biogeneticist              1
   1053  biograph                   3
   1054  biographi                  4
   1055  biolog                     4
   1056  bion                       1
   1057  bipartisan                 2
   1058  bipartisanship             1
   1059  bird                       3
   1060  birger                     1
   1061  birth                      9
   1062  birthdai                   6
   1063  birthmark                  1
   1064  birthplac                  1
   1065  biscuit                    3
   1066  bishop                     2
   1067  bit                       46
   1068  bite                       2
   1069  biter                      1
   1070  bitka                      1
   1071  bitten                     1
   1072  bitter                    20
   1073  bitterli                  10
   1074  bittersweet                2
   1075  biw                        1
   1076  bizarr                    10
   1077  bjorn                      1
   1078  black                     58
   1079  blacken                    4
   1080  blackmail                  5
   1081  blackout                   4
   1082  blade                      1
   1083  blair                     15
   1084  blakemor                   1
   1085  blame                     56
   1086  blanchard                  1
   1087  blanco                     7
   1088  bland                      1
   1089  blanda                     1
   1090  blank                      3
   1091  blanket                   35
   1092  blankli                    2
   1093  blare                      1
   1094  blast                    109
   1095  blatant                    2
   1096  blaze                      6
   1097  bleach                     1
   1098  bleacher                   1
   1099  bleak                      1
   1100  bled                       1
   1101  bleed                      2
   1102  blemish                    1
   1103  blend                      4
   1104  bless                      9
   1105  blew                      42
   1106  blind                      8
   1107  blindli                    5
   1108  blink                      3
   1109  blister                    2
   1110  blitz                      1
   1111  blitzer                    1
   1112  blizzard                   5
   1113  bloat                      4
   1114  bloc                       7
   1115  block                     83
   1116  blockad                   15
   1117  blocker                    1
   1118  blocki                     1
   1119  blokosso                   1
   1120  blond                      6
   1121  blood                     34
   1122  bloodbath                  2
   1123  bloodi                     8
   1124  bloodiest                  1
   1125  bloodless                  2
   1126  bloodsh                    9
   1127  bloodstain                 1
   1128  bloomberg                  1
   1129  bloomer                    1
   1130  blous                      1
   1131  blow                      25
   1132  blown                     11
   1133  blowtorch                  1
   1134  blue                      46
   1135  blueprint                 11
   1136  bluf                       5
   1137  blunk                      1
   1138  blunt                      2
   1139  bluntli                    2
   1140  blur                       2
   1141  blurb                      1
   1142  blusteri                   1
   1143  blvd                       1
   1144  bnaibrith                  1
   1145  bo                         5
   1146  board                     63
   1147  boarder                    5
   1148  boardwalk                  1
   1149  boast                      3
   1150  boat                     117
   1151  boater                     1
   1152  boatmen                    1
   1153  bob                       24
   1154  bobbi                      6
   1155  bobic                      1
   1156  bodi                     188
   1157  bodien                     1
   1158  bodin                      9
   1159  bodon                      1
   1160  bodyguard                 10
   1161  boe                        2
   1162  bog                        2
   1163  boga                       1
   1164  bogg                       1
   1165  bogu                       4
   1166  bohdan                     2
   1167  boi                       35
   1168  boigni                     6
   1169  boil                       1
   1170  boister                    1
   1171  bojic                      1
   1172  bold                       3
   1173  boldli                     1
   1174  bolivia                    1
   1175  bolona                     2
   1176  bolster                   12
   1177  bolt                       1
   1178  bomb                     259
   1179  bombai                     5
   1180  bombard                    2
   1181  bombei                     1
   1182  bomber                    57
   1183  bombet                     2
